"","x","y","z"
"1",1.53527596897801,3,"B"
"2",-0.305234121342849,5,"D"
"3",2.01553574179229,9,"A"
"4",0.715117741426076,2,"B"
"5",-1.51824127560122,6,"B"
"6",1.37806818404508,7,"D"
"7",-0.537755859191008,5,"B"
"8",-0.656057622155234,4,"C"
"9",0.461694876582179,7,"B"
"10",0.525914090754204,4,"D"
"11",0.948745843456426,6,"C"
"12",-0.705206106308032,3,"B"
"13",-0.479482739775126,10,"C"
"14",1.36810169618555,5,"C"
"15",-0.167881957331005,1,"B"
"16",-1.14468836064016,8,"B"
"17",0.70631152295568,3,"B"
"18",1.48226479864876,4,"B"
"19",-1.56132920335074,7,"B"
"20",0.728698451067293,4,"C"
"21",0.592759852843444,3,"B"
"22",1.54380631698847,6,"B"
"23",0.941223525061929,5,"D"
"24",-0.19573473456713,6,"B"
"25",2.19715785383653,4,"C"
"26",-0.43173896716234,4,"D"
"27",0.929611200114259,2,"D"
"28",1.27419577257791,7,"B"
"29",-0.143154489972315,9,"B"
"30",-0.790509397647792,5,"B"
"31",1.30747499121808,5,"C"
"32",0.299695454911261,4,"D"
"33",0.280751573466796,2,"A"
"34",2.34079025899878,3,"C"
"35",-1.38844256470907,7,"B"
"36",0.109655796280251,11,"C"
"37",-0.203282199124896,9,"C"
"38",-1.42453601283745,4,"A"
"39",1.4868765297798,7,"D"
"40",-0.522961098252858,8,"A"
"41",-1.29473548769195,7,"B"
"42",0.787386274221522,2,"C"
"43",-0.00861552311181556,2,"C"
"44",0.151671614759302,5,"C"
"45",0.640474232017647,5,"B"
"46",-1.17290345198976,4,"A"
"47",-0.141838639265614,6,"C"
"48",-0.168653526640816,2,"A"
"49",0.429732958171707,4,"B"
"50",-1.08474558638803,5,"B"
"51",0.794875488033298,10,"C"
"52",-0.850396501424507,5,"A"
"53",0.15699202815404,3,"C"
"54",0.99814435802554,5,"C"
"55",0.656266179849548,4,"C"
"56",-0.837181389482813,11,"C"
"57",-0.359719543625938,6,"C"
"58",1.71847147621682,5,"D"
"59",0.429083530929191,3,"B"
"60",-0.805521078487257,7,"C"
"61",-0.064228205072633,1,"B"
"62",0.257659906309131,4,"B"
"63",0.371040043508685,2,"D"
"64",0.0157740666350671,6,"D"
"65",0.767454582406683,8,"D"
"66",-0.115524072372231,5,"A"
"67",-0.731816790419084,6,"C"
"68",-1.16863748088425,6,"A"
"69",1.88971870902271,6,"A"
"70",-0.347737359139409,4,"C"
"71",-0.789587924185683,7,"D"
"72",0.669310833812537,4,"D"
"73",-1.02266914732792,11,"C"
"74",-1.89819778388864,6,"B"
"75",1.36829631044252,5,"B"
"76",-0.328788879854449,4,"D"
"77",0.723857033644525,4,"C"
"78",0.795826211272248,10,"C"
"79",0.945517871402388,5,"B"
"80",-1.83889801634684,3,"D"
"81",1.14647305838804,3,"C"
"82",1.60833336090734,7,"B"
"83",0.595555593221261,5,"A"
"84",-0.848265396861924,8,"B"
"85",1.65370429649408,10,"D"
"86",0.928324643542183,2,"D"
"87",-2.75949247846196,3,"B"
"88",0.466925409250855,3,"C"
"89",-0.247863461425874,6,"B"
"90",0.406094286232317,5,"C"
"91",-1.19138672516063,4,"B"
"92",3.18902848384635,2,"B"
"93",0.829892335989102,7,"B"
"94",-1.67330445276106,8,"B"
"95",0.187496851308813,6,"D"
"96",-1.48637163781877,3,"A"
"97",-0.522274714284683,7,"B"
"98",2.43842802121727,4,"A"
"99",2.3470996086143,6,"A"
"100",-1.82519610916851,4,"C"
"101",2.55259628642882,5,"A"
"102",-0.311231079093425,7,"C"
"103",-0.89087206581753,7,"C"
"104",-0.536625485200041,6,"D"
"105",-0.679899160219498,3,"C"
"106",-1.61133850740896,3,"C"
"107",2.87083052903385,9,"B"
"108",-0.196900490940737,2,"C"
"109",1.14029230149711,3,"A"
"110",1.42160599216652,3,"D"
"111",1.43577023957992,3,"B"
"112",0.0972545761676829,6,"C"
"113",2.40133976234115,5,"C"
"114",0.105916948417193,7,"D"
"115",0.614794056351545,8,"B"
"116",0.221296897590993,5,"D"
"117",0.598295861959052,5,"C"
"118",0.026337825147622,3,"D"
"119",-0.222141718149549,3,"A"
"120",-0.63163991461901,5,"A"
"121",-0.28066517062905,5,"B"
"122",-0.0265892046237844,7,"D"
"123",-0.480376090060769,4,"C"
"124",1.32882697131564,2,"C"
"125",-0.393951686035034,5,"B"
"126",1.91699728478488,3,"C"
"127",0.858301038413336,3,"B"
"128",1.08314315772233,3,"B"
"129",1.33893046421624,4,"C"
"130",1.82427691137387,7,"C"
"131",-0.953174325012111,7,"C"
"132",0.731292906186218,1,"C"
