"","x","y","z","a"
"1",-0.259187069477902,5,"B","b"
"2",-1.47766540583317,3,"B","j"
"3",0.813416753990652,4,"C","l"
"4",1.91200930265494,8,"C","c"
"5",-0.10269212977568,2,"C","f"
"6",-0.733991030257839,7,"C","j"
"7",-1.30291703282209,5,"B","l"
"8",-1.37412966785733,8,"B","e"
"9",-2.37794960046679,4,"A","d"
"10",-0.477270357871844,9,"B","k"
"11",-0.53818914677383,3,"B","d"
"12",1.31664589705163,0,"C","h"
"13",-1.50902854504363,2,"B","k"
"14",-0.0238777942211522,6,"B","i"
"15",-0.352528828456849,0,"D","b"
"16",-0.631918934085712,8,"B","i"
"17",-0.895936945752442,3,"B","i"
"18",1.02375456543592,6,"D","f"
"19",0.808454745779285,5,"B","g"
"20",-0.108236954277845,2,"C","b"
"21",-0.300381569573404,6,"B","k"
"22",-0.159149355850685,4,"C","i"
"23",-0.468999733315276,7,"B","d"
"24",0.901313162813238,2,"B","a"
"25",1.83162569918348,9,"A","k"
"26",0.583077699277398,3,"B","j"
"27",0.325928577233052,2,"D","i"
"28",-0.287587447394458,3,"C","d"
"29",-0.88815652548867,8,"C","k"
"30",-0.601056400654804,11,"A","f"
"31",0.0110088575599906,6,"C","c"
"32",0.506276920648349,5,"C","h"
"33",0.409973289594473,2,"D","d"
"34",-0.0456225803851633,7,"A","j"
"35",-0.190327382867574,5,"B","a"
"36",0.256432453424104,4,"C","f"
"37",0.307679917256303,10,"B","h"
"38",0.170578577550923,5,"A","f"
"39",-0.156104244964126,6,"B","g"
"40",1.49584784015358,4,"B","j"
"41",1.16772211030928,7,"D","c"
"42",0.647833878141962,3,"B","h"
"43",-1.41215788148967,4,"B","d"
"44",0.713212060717933,4,"C","c"
"45",-0.210172026741338,3,"C","j"
"46",-2.39057866527619,6,"B","c"
"47",-0.906992348840566,7,"B","b"
"48",0.181374871143851,4,"A","k"
"49",-0.37199733531287,5,"C","c"
"50",-0.892222796616776,7,"A","j"
"51",-0.0345610509706488,8,"D","c"
"52",-0.287041117081595,5,"D","j"
"53",-0.402031967767908,6,"A","a"
"54",-1.72004929756737,5,"D","b"
"55",-0.82823028949368,3,"C","j"
"56",-0.263279062579523,3,"C","b"
"57",0.631839052940379,8,"A","g"
"58",0.32965227671468,3,"B","f"
"59",0.804065756473245,7,"D","k"
"60",0.96484366761146,7,"D","b"
"61",-0.0674043515772165,5,"D","g"
"62",-0.76809013723182,5,"C","d"
